OK  34186709456607232 | 2026大港閱冰冰品嘉年華：最佳人氣由你來決定_copy
OK  34185388193103872 | 2026大港閱冰冰品嘉年華：最佳人氣由你來決定_copy
OK  34185353624633344 | LoadTest_壓測用_20260713
OK  34185347837804544 | LoadTest_壓測用_registration_open_0713162324
OK  34185281732696064 | 2026大港閱冰冰品嘉年華：最佳人氣由你來決定_copy
OK  34182005151641600 | 未命名活動
OK  34181996082839552 | 未命名活動
OK  34181987112927232 | IT05C_registration_open_0713020847
OK  34181985912053760 | IT05C_registration_open_0713020829
OK  34181984890279936 | IT05C_registration_open_0713020813
OK  34181970557939712 | IT05C_registration_open_0713020435
OK  34181969327448064 | IT05C_registration_open_0713020416
OK  34181962824898560 | IT05C_registration_open_0713020237
OK  34181961573019648 | IT05C_registration_open_0713020217
OK  34181949140643840 | IT05C_registration_open_0713015908
OK  34181947876655104 | IT05C_registration_open_0713015848
OK  34181941682319360 | IT05C_registration_open_0713015714
OK  34181928936626176 | 未命名活動
OK  34181927855347712 | 未命名活動
OK  34181917455626240 | IT16對照_改名_626240
OK  34181915343280128 | IT15_registration_open_0713015032
OK  34181872537845760 | IT11R_registration_open_0713013939
OK  34181862462414848 | IT12_registration_open_0713013705
OK  34181861086027776 | IT11R_registration_open_0713013644
OK  34181837167476736 | IT12W_registration_open_0713013040
OK  34181744784924672 | IT12_registration_open_0713010709
OK  34181735107801088 | IT12L_registration_open_0713010443
OK  34181728263028736 | IT16對照_改名_028736
OK  34181726102315008 | IT16D_registration_open_0713010224
OK  34181724181258240 | IT11R_registration_open_0713010155
OK  34181722517364736 | IT12_registration_open_0713010129
OK  34181722370551808 | IT11F_registration_open_0713010126
OK  34181719108771840 | IT10P_registration_open_0713010037
OK  34181713430667264 | 未命名活動
OK  34181677777108992 | IT16F_registration_open_0713005008
OK  34181668321974272 | IT16B_registration_open_0713004744
OK  34181663391891456 | IT16B_registration_open_0713004629
OK  34181610354978816 | 未命名活動
OK  34181605755404288 | IT15_registration_open_0713003148
OK  34181602868549632 | IT12_registration_open_0713003104
OK  34181600561158144 | IT12_registration_open_0713003029
OK  34181597977784320 | IT11_registration_open_0713002949
OK  34181545387438080 | IT16對照_改名_438080
OK  34181543570063360 | IT15_registration_open_0713001559
OK  34181540234680320 | IT12_registration_open_0713001508
OK  34181537325920256 | IT12_registration_open_0713001424
OK  34181534385717248 | IT11R_registration_open_0713001339
OK  34181531453317120 | IT11F_registration_open_0713001255
OK  34181528515993600 | IT11_registration_open_0713001210
OK  34181524805015552 | 未命名活動
OK  34181523784216576 | 未命名活動
OK  34180136008704000 | IT11X_registration_open_0712181803
OK  34180125929390080 | IT11X_registration_open_0712181529
OK  34180122195615744 | IT11X_registration_open_0712181431
OK  34179940357330944 | IT16對照_改名_330944
